Date,Open,High,Low,Close,Adj Close,Volume
2014-05-02,7.500000,7.690000,6.010000,7.200000,7.200000,579900
2014-05-05,6.800000,7.000000,6.300000,6.700000,6.700000,41100
2014-05-06,6.650000,6.850000,6.100000,6.100000,6.100000,24900
2014-05-07,6.120000,6.240000,6.050000,6.050000,6.050000,12700
2014-05-08,6.500000,6.990000,6.490000,6.990000,6.990000,24200
2014-05-09,6.980000,6.980000,6.550000,6.550000,6.550000,1300
2014-05-12,6.980000,6.980000,6.700000,6.930000,6.930000,3100
2014-05-13,6.500000,6.980000,6.500000,6.980000,6.980000,1400
2014-05-14,6.954000,6.954000,6.520000,6.520000,6.520000,200
2014-05-15,6.950000,7.440000,6.851000,7.440000,7.440000,4300
2014-05-16,6.920000,7.440000,6.920000,7.220000,7.220000,1400
2014-05-19,7.440000,7.440000,7.050000,7.410000,7.410000,6000
2014-05-20,7.340000,7.340000,7.340000,7.340000,7.340000,600
2014-05-21,7.780000,7.780000,6.720000,6.730000,6.730000,29900
2014-05-22,7.110000,7.110000,6.550000,6.700000,6.700000,3400
2014-05-23,6.750000,7.080000,6.600000,6.740000,6.740000,7800
2014-05-27,6.720000,6.720000,6.110000,6.360000,6.360000,12600
2014-05-28,6.290000,6.290000,6.160000,6.160000,6.160000,1900
2014-05-29,6.020000,6.300000,6.020000,6.250000,6.250000,2200
2014-05-30,6.060000,6.260000,6.010000,6.103000,6.103000,3100
2014-06-02,6.090000,6.090000,6.080000,6.090000,6.090000,1800
2014-06-03,6.090000,6.280000,6.090000,6.280000,6.280000,4500
2014-06-04,6.140000,6.149000,6.010000,6.090000,6.090000,5800
2014-06-05,6.000000,6.550000,6.000000,6.550000,6.550000,10900
2014-06-06,6.010000,6.640000,6.000000,6.580000,6.580000,5600
2014-06-09,6.000000,6.650000,6.000000,6.570000,6.570000,5300
2014-06-10,6.030000,6.990000,6.030000,6.990000,6.990000,12100
2014-06-11,6.990000,6.990000,6.420000,6.510000,6.510000,5900
2014-06-12,6.540000,6.980000,6.130000,6.670000,6.670000,11100
2014-06-13,6.800000,6.800000,6.520000,6.790000,6.790000,3100
2014-06-16,6.510000,7.000000,6.510000,6.920000,6.920000,6800
2014-06-17,6.510000,7.200000,6.510000,7.200000,7.200000,7300
2014-06-18,7.000000,7.000000,6.500000,6.690000,6.690000,26200
2014-06-19,7.650000,8.222000,7.320000,7.510000,7.510000,134900
2014-06-20,7.870000,7.870000,6.950000,6.950000,6.950000,50600
2014-06-23,6.950000,7.250000,6.790000,7.200000,7.200000,15800
2014-06-24,7.050000,7.191000,6.590000,6.650000,6.650000,29000
2014-06-25,6.750000,6.970000,6.700000,6.700000,6.700000,2100
2014-06-26,6.720000,6.720000,6.570000,6.650000,6.650000,6600
2014-06-27,6.700000,6.950000,6.690000,6.720000,6.720000,16300
2014-06-30,7.000000,7.000000,6.500000,6.560000,6.560000,9200
2014-07-01,6.760000,6.760000,6.580000,6.660000,6.660000,1000
2014-07-02,6.620000,7.010000,6.550000,6.590000,6.590000,4700
2014-07-03,6.590000,6.590000,6.590000,6.590000,6.590000,0
2014-07-07,6.510000,6.700000,6.510000,6.594000,6.594000,4700
2014-07-08,6.740000,6.750000,6.500000,6.500000,6.500000,18500
