Date,Open,High,Low,Close,Adj Close,Volume
2018-04-18,5.750000,7.500000,5.010000,6.300000,6.300000,291800
2018-04-19,6.800000,8.860000,6.684000,8.480000,8.480000,299600
2018-04-20,13.260000,14.990000,7.590000,7.788000,7.788000,830400
2018-04-23,7.500000,8.580000,7.010000,8.400000,8.400000,102600
2018-04-24,8.120000,8.640000,7.280000,8.450000,8.450000,87600
2018-04-25,8.510000,10.710000,7.820000,10.610000,10.610000,165800
2018-04-26,11.460000,12.830000,8.560000,9.730000,9.730000,739200
2018-04-27,10.360000,10.740000,9.700000,10.470000,10.470000,82200
2018-04-30,10.560000,11.050000,9.120000,9.600000,9.600000,121100
2018-05-01,9.710000,9.980000,8.320000,8.550000,8.550000,114700
2018-05-02,8.250000,9.990000,8.250000,9.200000,9.200000,189400
2018-05-03,9.230000,9.950000,9.000000,9.230000,9.230000,48600
2018-05-04,9.230000,10.140000,8.550000,8.960000,8.960000,101600
2018-05-07,9.080000,11.707000,8.950000,9.870000,9.870000,260800
2018-05-08,9.870000,10.490000,9.180000,9.480000,9.480000,122200
2018-05-09,9.540000,10.460000,8.900000,10.400000,10.400000,235300
2018-05-10,10.213000,12.109000,10.213000,11.050000,11.050000,196500
2018-05-11,10.510000,11.030000,9.955000,10.300000,10.300000,79300
2018-05-14,10.310000,10.670000,9.400000,9.550000,9.550000,76000
2018-05-15,9.560000,10.670000,9.560000,9.930000,9.930000,89000
2018-05-16,10.000000,10.280000,9.160000,9.590000,9.590000,146200
2018-05-17,9.450000,9.500000,8.780000,8.780000,8.780000,152400
2018-05-18,8.880000,8.880000,8.550000,8.620000,8.620000,64000
2018-05-21,8.570000,9.230000,8.480000,9.110000,9.110000,46000
2018-05-22,9.040000,9.040000,8.610000,8.800000,8.800000,70500
2018-05-23,8.730000,9.250000,8.690000,9.220000,9.220000,70000
2018-05-24,9.280000,10.490000,9.070000,9.850000,9.850000,129800
2018-05-25,9.920000,10.270000,9.241000,9.970000,9.970000,108000
2018-05-29,9.900000,10.600000,9.660000,10.040000,10.040000,81700
2018-05-30,10.110000,10.350000,9.820000,10.070000,10.070000,31300
2018-05-31,9.890000,10.160000,9.815000,9.840000,9.840000,32900
2018-06-01,9.840000,10.300000,9.820000,10.130000,10.130000,53300
2018-06-04,10.310000,11.469000,9.560000,10.000000,10.000000,93200
2018-06-05,10.000000,10.110000,9.590000,9.810000,9.810000,48200
2018-06-06,9.660000,10.940000,9.660000,10.070000,10.070000,38100
2018-06-07,9.955000,10.530000,9.810000,9.950000,9.950000,59000
2018-06-08,9.970000,10.280000,9.710000,10.280000,10.280000,79200
2018-06-11,9.910000,10.940000,9.851000,10.260000,10.260000,85100
2018-06-12,10.340000,13.390000,10.270000,13.390000,13.390000,191000
2018-06-13,13.370000,16.250000,13.300000,16.219999,16.219999,219900
2018-06-14,16.330000,31.280001,16.330000,27.799999,27.799999,803500
2018-06-15,27.610001,37.630001,26.330000,29.410000,29.410000,369200
2018-06-18,29.260000,29.400000,24.379999,28.139999,28.139999,105500
2018-06-19,27.879999,32.000000,24.660999,25.500000,25.500000,117300
2018-06-20,25.290001,28.170000,23.889999,25.780001,25.780001,53300
2018-06-21,26.080000,30.990000,24.590000,28.500000,28.500000,143700
2018-06-22,28.070000,30.440001,26.730000,27.160000,27.160000,90500
2018-06-25,27.059999,28.049999,25.700001,25.850000,25.850000,40300
2018-06-26,26.040001,26.040001,21.129999,24.010000,24.010000,77500
2018-06-27,23.420000,25.950001,23.420000,24.500000,24.500000,20900
2018-06-28,24.330000,25.500000,23.500999,24.250000,24.250000,86000
2018-06-29,25.100000,25.590000,23.600000,23.680000,23.680000,29300
2018-07-02,23.809999,23.809999,19.129999,19.400000,19.400000,67700
2018-07-03,19.660000,20.969999,19.535000,20.719999,20.719999,62100
2018-07-05,20.870001,22.440001,20.469999,21.840000,21.840000,54600
2018-07-06,21.690001,23.200001,19.320000,22.660000,22.660000,92400
2018-07-09,22.620001,23.790001,20.761999,21.245001,21.245001,70300
2018-07-10,22.090000,22.200001,19.410000,19.410000,19.410000,86600
2018-07-11,19.049999,20.809999,17.379999,17.690001,17.690001,147500
2018-07-12,17.549999,19.639999,16.510000,16.969999,16.969999,86700
2018-07-13,17.660000,18.007999,17.040001,17.040001,17.040001,81500
2018-07-16,17.700001,17.700001,16.629999,16.629999,16.629999,30900
2018-07-17,17.350000,17.750000,17.110001,17.260000,17.260000,29600
2018-07-18,17.280001,18.239000,17.010000,17.150000,17.150000,26500
2018-07-19,17.360001,17.549999,13.465000,13.840000,13.840000,38300
2018-07-20,13.810000,13.810000,12.340000,12.580000,12.580000,26800
2018-07-23,12.650000,12.916000,12.600000,12.610000,12.610000,3800
2018-07-24,12.710000,14.961000,12.710000,13.501000,13.501000,15900
2018-07-25,13.570000,13.990000,13.510000,13.990000,13.990000,2300
2018-07-26,13.780000,14.050000,13.200000,13.220000,13.220000,15500
2018-07-27,13.070000,17.000000,13.070000,15.690000,15.690000,39100
2018-07-30,16.299999,16.299999,14.700000,15.480000,15.480000,12700
2018-07-31,16.730000,16.730000,14.280000,14.290000,14.290000,5900
2018-08-01,14.233000,15.495000,14.233000,15.290000,15.290000,7900
2018-08-02,15.300000,15.300000,14.545000,14.880000,14.880000,14500
2018-08-03,14.760000,16.190001,14.740000,15.810000,15.810000,15800
2018-08-06,15.930000,16.549999,15.550000,15.600000,15.600000,13200
