Date,Open,High,Low,Close,Adj Close,Volume
2019-02-12,11.500000,11.500000,10.510000,10.800000,10.800000,650000
2019-02-13,10.900000,10.900000,8.720000,9.150000,9.150000,128100
2019-02-14,9.180000,9.200000,8.772000,9.200000,9.200000,56600
2019-02-15,9.200000,9.440000,8.910000,9.300000,9.300000,30700
2019-02-19,9.300000,9.300000,8.730000,9.000000,9.000000,22400
2019-02-20,9.050000,9.050000,8.740000,8.900000,8.900000,7800
2019-02-21,9.160000,9.250000,8.946000,9.050000,9.050000,9800
2019-02-22,9.250000,9.250000,8.750000,9.060000,9.060000,10700
2019-02-25,9.010000,9.010000,8.390000,8.390000,8.390000,39500
2019-02-26,8.400000,8.400000,8.110000,8.200000,8.200000,16700
2019-02-27,8.300000,8.390000,7.328000,7.990000,7.990000,15800
2019-02-28,8.050000,8.120000,7.970000,8.000000,8.000000,13100
2019-03-01,7.920000,8.000000,7.910000,7.985000,7.985000,8500
2019-03-04,8.100000,8.110000,7.928000,8.010000,8.010000,16700
2019-03-05,8.050000,8.050000,7.670000,7.981000,7.981000,7200
2019-03-06,8.000000,8.030000,7.790000,7.790000,7.790000,18000
2019-03-07,8.020000,8.050000,7.680000,7.835000,7.835000,20500
2019-03-08,7.660000,7.715000,7.540000,7.715000,7.715000,10300
2019-03-11,7.900000,7.924000,7.681000,7.689000,7.689000,3500
2019-03-12,7.730000,7.772000,7.700000,7.700000,7.700000,3100
2019-03-13,7.690000,7.720000,7.370000,7.560000,7.560000,10600
2019-03-14,7.510000,7.510000,6.735000,7.200000,7.200000,18600
2019-03-15,7.000000,7.112000,6.530000,6.990000,6.990000,51100
2019-03-18,6.980000,7.200000,6.750000,7.050000,7.050000,46900
2019-03-19,7.030000,7.100000,6.710000,7.000000,7.000000,7200
2019-03-20,6.840000,6.840000,6.680000,6.750000,6.750000,5100
2019-03-21,6.750000,6.869000,6.682000,6.869000,6.869000,1700
2019-03-22,6.960000,6.960000,6.800000,6.960000,6.960000,10200
2019-03-25,7.050000,7.050000,6.760000,7.000000,7.000000,9800
2019-03-26,6.689000,6.750000,6.680000,6.750000,6.750000,1900
2019-03-27,6.860000,7.460000,6.680000,7.090000,7.090000,60000
2019-03-28,6.680000,7.040000,6.456000,7.000000,7.000000,47800
2019-03-29,6.980000,6.980000,6.670000,6.795000,6.795000,11900
2019-04-01,6.920000,6.980000,6.750000,6.960000,6.960000,3200
2019-04-02,6.925000,6.925000,5.850000,6.690000,6.690000,6700
2019-04-03,6.980000,7.200000,6.800000,6.900000,6.900000,8200
2019-04-04,6.614000,6.950000,6.260000,6.600000,6.600000,22700
2019-04-05,6.500000,7.028000,6.500000,6.500000,6.500000,2600
2019-04-08,6.870000,6.870000,6.600000,6.855000,6.855000,9400
2019-04-09,6.810000,6.845000,6.290000,6.520000,6.520000,16900
2019-04-10,6.460000,6.670000,6.300000,6.670000,6.670000,6100
2019-04-11,6.570000,6.706000,6.290000,6.360000,6.360000,7800
2019-04-12,6.573000,6.573000,6.300000,6.300000,6.300000,5000
2019-04-15,6.300000,6.300000,6.260000,6.260000,6.260000,1300
2019-04-16,6.250000,6.719000,6.130000,6.640000,6.640000,3100
2019-04-17,6.440000,6.440000,5.920000,5.990000,5.990000,9800
2019-04-18,6.000000,6.400000,5.800000,6.100000,6.100000,30200
2019-04-22,5.810000,5.990000,5.710000,5.780000,5.780000,1800
2019-04-23,6.180000,6.260000,5.672000,5.860000,5.860000,9200
2019-04-24,5.751000,5.840000,5.751000,5.800000,5.800000,1200
2019-04-25,5.700000,5.862000,5.695000,5.862000,5.862000,3400
2019-04-26,5.700000,5.990000,5.700000,5.860000,5.860000,1100
2019-04-29,6.090000,6.200000,5.960000,5.960000,5.960000,2600
2019-04-30,5.800000,5.860000,5.800000,5.825000,5.825000,6200
2019-05-01,5.730000,6.172000,5.620000,6.000000,6.000000,2100
2019-05-02,5.972000,5.996000,5.972000,5.996000,5.996000,200
2019-05-03,5.600000,6.662000,5.600000,5.730000,5.730000,3900
2019-05-06,5.730000,5.730000,5.730000,5.730000,5.730000,200
2019-05-07,5.880000,5.950000,5.880000,5.950000,5.950000,800
2019-05-08,5.950000,5.950000,5.600000,5.922000,5.922000,3100
2019-05-09,5.660000,5.660000,5.520000,5.540000,5.540000,3100
2019-05-10,5.540000,5.540000,5.540000,5.540000,5.540000,400
2019-05-13,5.540000,5.700000,5.530000,5.700000,5.700000,900
2019-05-14,5.568000,5.662000,5.540000,5.649000,5.649000,3900
2019-05-15,5.550000,5.653000,5.310000,5.653000,5.653000,1600
2019-05-16,5.650000,5.650000,5.350000,5.630000,5.630000,3900
2019-05-17,5.614000,5.614000,5.291000,5.291000,5.291000,10000
2019-05-20,5.328000,5.446000,5.150000,5.150000,5.150000,4000
2019-05-21,5.568000,5.568000,5.377000,5.440000,5.440000,1500
2019-05-22,5.220000,5.241000,5.220000,5.241000,5.241000,1200
2019-05-23,5.250000,5.250000,4.910000,5.020000,5.020000,4500
2019-05-24,4.980000,4.990000,4.950000,4.950000,4.950000,1900
2019-05-28,4.900000,4.900000,4.730000,4.795000,4.795000,2500
